Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
1,335.2666667,1,1.00E-06,188.3147459,1132.545,1.883147459,11.32545
1,340.0166667,1,1.00E-06,183.4774544,1133.902022,1.834774544,11.33902022
1,345.05,1,1.00E-06,179.9119172,1146.36328,1.799119172,11.4636328
1,349.9833333,1,1.00E-06,175.0783766,1162.384845,1.750783766,11.62384845
1,354.9333333,1,1.00E-06,170.8281275,1155.654301,1.708281275,11.55654301
1,359.9333333,1,1.00E-06,167.7947406,1182.246811,1.677947406,11.82246811
1,364.9333333,1,1.00E-06,165.7975263,1173.736588,1.657975263,11.73736588
1,369.9333333,1,1.00E-06,161.7719584,1193.277509,1.617719584,11.93277509
1,374.95,1,1.00E-06,159.9401385,1207.3967,1.599401385,12.073967
1,380,1,1.00E-06,154.6319287,1214.650096,1.546319287,12.14650096
1,384.9333333,1,1.00E-06,155.8579142,1202.487652,1.558579142,12.02487652
1,389.9833333,1,1.00E-06,150.4742607,1226.747814,1.504742607,12.26747814
1,394.95,1,1.00E-06,151.5324925,1220.510218,1.515324925,12.20510218
1,399.95,1,1.00E-06,148.1737648,1214.005421,1.481737648,12.14005421
1,404.9333333,1,1.00E-06,146.6025645,1245.808438,1.466025645,12.45808438
1,409.9333333,1,1.00E-06,144.5997614,1226.947618,1.445997614,12.26947618
1,414.9333333,1,1.00E-06,145.0603955,1251.853747,1.450603955,12.51853747
1,419.9333333,1,1.00E-06,142.5480054,1260.01462,1.425480054,12.6001462
1,424.9333333,1.00E-06,100,145.752038,1256.791594,1.45752038,12.56791594
1,429.95,1.00E-06,100,155.6359465,1239.910783,1.556359465,12.39910783
1,434.9333333,1.00E-06,100,163.0191856,1238.476917,1.630191856,12.38476917
1,439.95,1.00E-06,100,174.4016571,1191.146755,1.744016571,11.91146755
1,444.95,1.00E-06,100,181.9867487,1178.982223,1.819867487,11.78982223
1,449.9333333,1.00E-06,100,194.5923155,1138.074857,1.945923155,11.38074857
1,454.95,1.00E-06,100,207.4189586,1078.070902,2.074189586,10.78070902
1,459.9333333,1.00E-06,100,219.7845315,1021.658293,2.197845315,10.21658293
1,464.9333333,1.00E-06,100,235.6599849,958.4693128,2.356599849,9.584693128
1,469.95,1.00E-06,100,265.4228046,885.5159157,2.654228046,8.855159157
1,474.9333333,1.00E-06,100,289.5406829,843.4518247,2.895406829,8.434518247
1,479.9333333,1.00E-06,100,320.1937752,777.8280542,3.201937752,7.778280542
1,484.9333333,1.00E-06,100,360.853585,730.009462,3.60853585,7.30009462
1,489.9333333,1.00E-06,100,410.1795366,671.3330288,4.101795366,6.713330288
1,495.0666667,1.00E-06,100,482.9845329,622.7650469,4.829845329,6.227650469
1,499.9333333,1.00E-06,100,552.8256412,573.0374218,5.528256412,5.730374218
1,504.9333333,1.00E-06,100,648.4132815,520.0253111,6.484132815,5.200253111
1,509.9333333,1.00E-06,100,741.4733597,481.333037,7.414733597,4.81333037
